State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Alabama,1505814,20268,1342120,143426,307109,4134,8226056,1677696,4903185
Alaska,280767,1304,273911,5552,383800,1783,4263487,5828058,731545
Arizona,2258040,31162,2199049,27829,310225,4281,20720327,2846700,7278717
Arkansas,941464,11961,917979,11524,311970,3963,7464944,2473634,3017804
California,11161843,95490,10583973,482380,282491,2417,183300783,4639091,39512223
Colorado,1639422,13920,1582322,43180,284684,2417,19984063,3470217,5758736
Connecticut,880603,11299,848290,21014,246994,3169,15609081,4378071,3565287
Delaware,304393,3080,295189,6124,312594,3163,1026007,1053651,973764
Florida,7113909,80460,6864728,168721,331222,3746,62664535,2917651,21477737
Georgia,2883318,39875,2765122,78321,271565,3756,26814188,2525489,10617423
Hawaii,340729,1655,330711,8363,240650,1169,4101166,2896566,1415872
Idaho,490946,5125,477120,8701,274722,2868,3125717,1749079,1787065
Illinois,3716318,39445,3559177,117696,293274,3113,57898053,4569040,12671821
Indiana,1908325,24549,1699954,183822,283462,3646,20899918,3104462,6732219
Iowa,970009,9968,917781,42260,307445,3159,8492575,2691723,3155070
Kansas,868911,9027,833465,26419,298255,3099,5771365,1981031,2913314
Kentucky,1556660,16822,1459948,79890,348427,3765,13675281,3060940,4467673
Louisiana,1442885,17923,1387425,37537,310378,3855,16719238,3596468,4648794
Maine,284881,2551,275884,6446,211932,1898,5609563,4173124,1344212
Maryland,1233088,15257,1184153,33678,203962,2524,22908230,3789190,6045680
Massachusetts,2021331,21536,1987460,12335,293265,3125,47257622,6856380,6892503
Michigan,2786213,38121,2673810,74282,278988,3817,26843215,2687854,9986857
Minnesota,1645653,13509,1625704,6440,291801,2395,23305101,4132380,5639632
Mississippi,918874,12821,877963,28090,308746,4308,7063623,2373410,2976149
Missouri,1618991,21335,1542769,54887,263790,3476,14632189,2384091,6137428
Montana,306709,3509,301638,1562,286972,3283,2789012,2609534,1068778
Nebraska,533046,4488,517218,11340,275560,2320,5506012,2846355,1934408
Nevada,843526,11417,794099,38010,273858,3707,6875532,2232203,3080156
New Hampshire,345777,2670,341064,2043,254302,1964,4845153,3563370,1359711
New Jersey,2696672,34623,2511545,150504,303604,3898,31135813,3505421,8882190
New Mexico,613896,8483,584326,21087,292774,4046,7850950,3744201,2096829
New York,6193959,71730,6080578,41651,318397,3687,118542371,6093608,19453561
North Carolina,3141302,26365,3079705,35232,299512,2514,26356209,2512967,10488084
North Dakota,266273,2354,262163,1756,349411,3089,618121,811116,762062
Ohio,3096557,39576,2985915,71066,264910,3386,22345248,1911631,11689100
Oklahoma,1179931,14765,1146483,18683,298190,3731,5473577,1383274,3956971
Oregon,883368,8471,839663,35234,209441,2008,12508506,2965691,4217737
Pennsylvania,3202811,46831,3111385,44595,250181,3658,28100032,2194974,12801989
Rhode Island,420175,3652,410875,5648,396631,3447,8285215,7820955,1059361
South Carolina,1687640,18299,1557282,112059,327779,3554,17515470,3401912,5148714
South Dakota,258510,3002,254864,644,292214,3393,2309128,2610190,884659
Tennessee,2316764,27537,2266212,23015,339245,4032,13725033,2009765,6829174
Texas,7867631,90860,7535625,241146,271336,3134,71159193,2454114,28995881
Utah,1032129,4989,1017831,9309,321941,1556,9406861,2934181,3205958
Vermont,140740,715,137920,2105,225549,1146,4077323,6534287,623989
Virginia,2060595,21611,1972287,66697,241414,2532,19172533,2246206,8535519
Washington,1793565,14122,1744493,34950,235534,1855,17264083,2267147,7614893
West Virginia,590441,7322,580061,3058,329460,4086,6810668,3800284,1792147
Wisconsin,1843251,15120,1786127,42004,316577,2597,17760241,3050312,5822434
Wyoming,175290,1884,172329,1077,302872,3255,1501160,2593757,578759
