,country,date,daily_vaccinations_per_million
13403,Canada,2020-12-14,0.0
13404,Canada,2020-12-15,19.0
13405,Canada,2020-12-16,40.0
13406,Canada,2020-12-17,64.0
13407,Canada,2020-12-18,74.0
13408,Canada,2020-12-19,65.0
13409,Canada,2020-12-20,58.0
13410,Canada,2020-12-21,79.0
13411,Canada,2020-12-22,98.0
13412,Canada,2020-12-23,122.0
13413,Canada,2020-12-24,144.0
13414,Canada,2020-12-25,141.0
13415,Canada,2020-12-26,137.0
13416,Canada,2020-12-27,147.0
13417,Canada,2020-12-28,142.0
13418,Canada,2020-12-29,170.0
13419,Canada,2020-12-30,187.0
13420,Canada,2020-12-31,198.0
13421,Canada,2021-01-01,212.0
13422,Canada,2021-01-02,230.0
13423,Canada,2021-01-03,236.0
13424,Canada,2021-01-04,300.0
13425,Canada,2021-01-05,318.0
13426,Canada,2021-01-06,373.0
13427,Canada,2021-01-07,463.0
13428,Canada,2021-01-08,594.0
13429,Canada,2021-01-09,713.0
13430,Canada,2021-01-10,781.0
13431,Canada,2021-01-11,837.0
13432,Canada,2021-01-12,887.0
13433,Canada,2021-01-13,895.0
13434,Canada,2021-01-14,916.0
13435,Canada,2021-01-15,945.0
13436,Canada,2021-01-16,951.0
13437,Canada,2021-01-17,970.0
13438,Canada,2021-01-18,981.0
13439,Canada,2021-01-19,1012.0
13440,Canada,2021-01-20,1061.0
13441,Canada,2021-01-21,1062.0
13442,Canada,2021-01-22,1019.0
13443,Canada,2021-01-23,980.0
13444,Canada,2021-01-24,928.0
13445,Canada,2021-01-25,861.0
13446,Canada,2021-01-26,825.0
13447,Canada,2021-01-27,749.0
13448,Canada,2021-01-28,681.0
13449,Canada,2021-01-29,620.0
13450,Canada,2021-01-30,574.0
13451,Canada,2021-01-31,538.0
13452,Canada,2021-02-01,519.0
13453,Canada,2021-02-02,451.0
13454,Canada,2021-02-03,415.0
13455,Canada,2021-02-04,395.0
13456,Canada,2021-02-05,402.0
13457,Canada,2021-02-06,426.0
13458,Canada,2021-02-07,459.0
13459,Canada,2021-02-08,470.0
13460,Canada,2021-02-09,527.0
13461,Canada,2021-02-10,588.0
13462,Canada,2021-02-11,641.0
13463,Canada,2021-02-12,694.0
13464,Canada,2021-02-13,740.0
13465,Canada,2021-02-14,749.0
13466,Canada,2021-02-15,709.0
13467,Canada,2021-02-16,706.0
13468,Canada,2021-02-17,674.0
13469,Canada,2021-02-18,651.0
13470,Canada,2021-02-19,699.0
13471,Canada,2021-02-20,766.0
13472,Canada,2021-02-21,860.0
13473,Canada,2021-02-22,1054.0
13474,Canada,2021-02-23,1143.0
13475,Canada,2021-02-24,1237.0
13476,Canada,2021-02-25,1355.0
13477,Canada,2021-02-26,1422.0
13478,Canada,2021-02-27,1461.0
13479,Canada,2021-02-28,1479.0
13480,Canada,2021-03-01,1470.0
13481,Canada,2021-03-02,1567.0
13482,Canada,2021-03-03,1674.0
13483,Canada,2021-03-04,1752.0
13484,Canada,2021-03-05,1821.0
13485,Canada,2021-03-06,1864.0
13486,Canada,2021-03-07,1906.0
13487,Canada,2021-03-08,2007.0
13488,Canada,2021-03-09,1989.0
13489,Canada,2021-03-10,2005.0
13490,Canada,2021-03-11,2077.0
13491,Canada,2021-03-12,2174.0
13492,Canada,2021-03-13,2296.0
13493,Canada,2021-03-14,2431.0
13494,Canada,2021-03-15,2574.0
13495,Canada,2021-03-16,2765.0
13496,Canada,2021-03-17,2998.0
13497,Canada,2021-03-18,3218.0
13498,Canada,2021-03-19,3417.0
13499,Canada,2021-03-20,3521.0
13500,Canada,2021-03-21,3512.0
13501,Canada,2021-03-22,3593.0
13502,Canada,2021-03-23,3611.0
13503,Canada,2021-03-24,3729.0
13504,Canada,2021-03-25,3857.0
13505,Canada,2021-03-26,4058.0
13506,Canada,2021-03-27,4195.0
13507,Canada,2021-03-28,4412.0
13508,Canada,2021-03-29,4571.0
13509,Canada,2021-03-30,4752.0
13510,Canada,2021-03-31,4947.0
13511,Canada,2021-04-01,5015.0
13512,Canada,2021-04-02,4837.0
13513,Canada,2021-04-03,4929.0
13514,Canada,2021-04-04,4828.0
13515,Canada,2021-04-05,4803.0
13516,Canada,2021-04-06,4907.0
13517,Canada,2021-04-07,4948.0
13518,Canada,2021-04-08,5136.0
13519,Canada,2021-04-09,5635.0
13520,Canada,2021-04-10,5817.0
13521,Canada,2021-04-11,6050.0
13522,Canada,2021-04-12,6632.0
13523,Canada,2021-04-13,6895.0
13524,Canada,2021-04-14,7134.0
13525,Canada,2021-04-15,7321.0
13526,Canada,2021-04-16,7389.0
13527,Canada,2021-04-17,7432.0
13528,Canada,2021-04-18,7499.0
13529,Canada,2021-04-19,7220.0
13530,Canada,2021-04-20,7094.0
13531,Canada,2021-04-21,7168.0
13532,Canada,2021-04-22,7380.0
13533,Canada,2021-04-23,7537.0
13534,Canada,2021-04-24,7665.0
13535,Canada,2021-04-25,7785.0
13536,Canada,2021-04-26,7787.0
13537,Canada,2021-04-27,7873.0
13538,Canada,2021-04-28,7673.0
13539,Canada,2021-04-29,7450.0
13540,Canada,2021-04-30,7142.0
13541,Canada,2021-05-01,6936.0
13542,Canada,2021-05-02,6714.0
13543,Canada,2021-05-03,6577.0
13544,Canada,2021-05-04,6475.0
13545,Canada,2021-05-05,6554.0
13546,Canada,2021-05-06,6754.0
13547,Canada,2021-05-07,7195.0
13548,Canada,2021-05-08,7552.0
13549,Canada,2021-05-09,7926.0
13550,Canada,2021-05-10,8337.0
13551,Canada,2021-05-11,8596.0
13552,Canada,2021-05-12,8835.0
13553,Canada,2021-05-13,8976.0
13554,Canada,2021-05-14,9107.0
13555,Canada,2021-05-15,9246.0
13556,Canada,2021-05-16,9420.0
13557,Canada,2021-05-17,9629.0
13558,Canada,2021-05-18,9565.0
13559,Canada,2021-05-19,9600.0
13560,Canada,2021-05-20,9614.0
13561,Canada,2021-05-21,9803.0
13562,Canada,2021-05-22,9897.0
13563,Canada,2021-05-23,9865.0
13564,Canada,2021-05-24,9735.0
13565,Canada,2021-05-25,9617.0
13566,Canada,2021-05-26,9481.0
13567,Canada,2021-05-27,9454.0
13568,Canada,2021-05-28,9357.0
13569,Canada,2021-05-29,9192.0
13570,Canada,2021-05-30,9223.0
13571,Canada,2021-05-31,9346.0
13572,Canada,2021-06-01,9570.0
13573,Canada,2021-06-02,9658.0
13574,Canada,2021-06-03,9737.0
13575,Canada,2021-06-04,9743.0
13576,Canada,2021-06-05,9861.0
13577,Canada,2021-06-06,9880.0
13578,Canada,2021-06-07,9948.0
13579,Canada,2021-06-08,10090.0
13580,Canada,2021-06-09,10307.0
13581,Canada,2021-06-10,10543.0
13582,Canada,2021-06-11,10700.0
13583,Canada,2021-06-12,10851.0
13584,Canada,2021-06-13,11056.0
13585,Canada,2021-06-14,11202.0
13586,Canada,2021-06-15,11561.0
13587,Canada,2021-06-16,11787.0
13588,Canada,2021-06-17,11898.0
13589,Canada,2021-06-18,12022.0
13590,Canada,2021-06-19,12030.0
13591,Canada,2021-06-20,11925.0
13592,Canada,2021-06-21,11770.0
13593,Canada,2021-06-22,11859.0
13594,Canada,2021-06-23,12053.0
13595,Canada,2021-06-24,12372.0
13596,Canada,2021-06-25,12320.0
13597,Canada,2021-06-26,12403.0
13598,Canada,2021-06-27,12437.0
13599,Canada,2021-06-28,13557.0
13600,Canada,2021-06-29,13990.0
13601,Canada,2021-06-30,14327.0
13602,Canada,2021-07-01,13839.0
13603,Canada,2021-07-02,14010.0
13604,Canada,2021-07-03,13698.0
13605,Canada,2021-07-04,13554.0
13606,Canada,2021-07-05,13166.0
13607,Canada,2021-07-06,12771.0
13608,Canada,2021-07-07,12383.0
13609,Canada,2021-07-08,12980.0
13610,Canada,2021-07-09,12901.0
13611,Canada,2021-07-10,12918.0
13612,Canada,2021-07-11,12785.0
13613,Canada,2021-07-12,12422.0
13614,Canada,2021-07-13,12171.0
13615,Canada,2021-07-14,11882.0
13616,Canada,2021-07-15,11195.0
13617,Canada,2021-07-16,10766.0
13618,Canada,2021-07-17,10526.0
13619,Canada,2021-07-18,10299.0
13620,Canada,2021-07-19,10004.0
13621,Canada,2021-07-20,9703.0
13622,Canada,2021-07-21,9549.0
13623,Canada,2021-07-22,9335.0
13624,Canada,2021-07-23,9046.0
13625,Canada,2021-07-24,8848.0
13626,Canada,2021-07-25,8741.0
13627,Canada,2021-07-26,8609.0
13628,Canada,2021-07-27,8399.0
13629,Canada,2021-07-28,7985.0
13630,Canada,2021-07-29,7568.0
13631,Canada,2021-07-30,7202.0
13632,Canada,2021-07-31,6948.0
13633,Canada,2021-08-01,6754.0
13634,Canada,2021-08-02,5639.0
13635,Canada,2021-08-03,5637.0
13636,Canada,2021-08-04,5230.0
13637,Canada,2021-08-05,4927.0
13638,Canada,2021-08-06,4618.0
13639,Canada,2021-08-07,4416.0
13640,Canada,2021-08-08,4247.0
13641,Canada,2021-08-09,4590.0
13642,Canada,2021-08-10,4057.0
13643,Canada,2021-08-11,3944.0
13644,Canada,2021-08-12,3805.0
13645,Canada,2021-08-13,3700.0
13646,Canada,2021-08-14,3657.0
13647,Canada,2021-08-15,3649.0
13648,Canada,2021-08-16,3569.0
13649,Canada,2021-08-17,3572.0
13650,Canada,2021-08-18,3526.0
13651,Canada,2021-08-19,3468.0
13652,Canada,2021-08-20,3396.0
13653,Canada,2021-08-21,3339.0
13654,Canada,2021-08-22,3264.0
13655,Canada,2021-08-23,3101.0
13656,Canada,2021-08-24,3022.0
13657,Canada,2021-08-25,2948.0
13658,Canada,2021-08-26,2894.0
13659,Canada,2021-08-27,2846.0
13660,Canada,2021-08-28,2769.0
13661,Canada,2021-08-29,2731.0
13662,Canada,2021-08-30,2741.0
13663,Canada,2021-08-31,2612.0
13664,Canada,2021-09-01,2585.0
13665,Canada,2021-09-02,2478.0
13666,Canada,2021-09-03,2455.0
13667,Canada,2021-09-04,2461.0
13668,Canada,2021-09-05,2440.0
13669,Canada,2021-09-06,2114.0
13670,Canada,2021-09-07,2192.0
13671,Canada,2021-09-08,2142.0
13672,Canada,2021-09-09,2155.0
13673,Canada,2021-09-10,2113.0
13674,Canada,2021-09-11,2079.0
13675,Canada,2021-09-12,2060.0
13676,Canada,2021-09-13,2296.0
13677,Canada,2021-09-14,2186.0
13678,Canada,2021-09-15,2182.0
13679,Canada,2021-09-16,2176.0
13680,Canada,2021-09-17,2404.0
13681,Canada,2021-09-18,2388.0
13682,Canada,2021-09-19,2384.0
13683,Canada,2021-09-20,2535.0
13684,Canada,2021-09-21,2632.0
13685,Canada,2021-09-22,2695.0
13686,Canada,2021-09-23,2768.0
13687,Canada,2021-09-24,2794.0
13688,Canada,2021-09-25,2816.0
13689,Canada,2021-09-26,2864.0
13690,Canada,2021-09-27,2795.0
13691,Canada,2021-09-28,2716.0
13692,Canada,2021-09-29,2709.0
13693,Canada,2021-09-30,2649.0
13694,Canada,2021-10-01,2380.0
13695,Canada,2021-10-02,2327.0
13696,Canada,2021-10-03,2256.0
13697,Canada,2021-10-04,2193.0
13698,Canada,2021-10-05,2194.0
13699,Canada,2021-10-06,2288.0
13700,Canada,2021-10-07,2239.0
13701,Canada,2021-10-08,2254.0
13702,Canada,2021-10-09,2267.0
13703,Canada,2021-10-10,2275.0
13704,Canada,2021-10-11,1981.0
13705,Canada,2021-10-12,2106.0
13706,Canada,2021-10-13,1984.0
13707,Canada,2021-10-14,2035.0
13708,Canada,2021-10-15,2046.0
13709,Canada,2021-10-16,2008.0
13710,Canada,2021-10-17,1987.0
13711,Canada,2021-10-18,2301.0
13712,Canada,2021-10-19,2164.0
13713,Canada,2021-10-20,2133.0
13714,Canada,2021-10-21,2085.0
13715,Canada,2021-10-22,2055.0
13716,Canada,2021-10-23,2034.0
13717,Canada,2021-10-24,2007.0
13718,Canada,2021-10-25,1978.0
13719,Canada,2021-10-26,2005.0
13720,Canada,2021-10-27,1976.0
13721,Canada,2021-10-28,1956.0
13722,Canada,2021-10-29,1893.0
13723,Canada,2021-10-30,1874.0
13724,Canada,2021-10-31,1857.0
13725,Canada,2021-11-01,1799.0
13726,Canada,2021-11-02,1696.0
13727,Canada,2021-11-03,1697.0
13728,Canada,2021-11-04,1677.0
13729,Canada,2021-11-05,1659.0
13730,Canada,2021-11-06,1614.0
13731,Canada,2021-11-07,1594.0
13732,Canada,2021-11-08,1617.0
13733,Canada,2021-11-09,1679.0
13734,Canada,2021-11-10,1726.0
13735,Canada,2021-11-11,1593.0
13736,Canada,2021-11-12,1663.0
13737,Canada,2021-11-13,1680.0
13738,Canada,2021-11-14,1678.0
13739,Canada,2021-11-15,1673.0
13740,Canada,2021-11-16,1647.0
13741,Canada,2021-11-17,1604.0
13742,Canada,2021-11-18,1733.0
