,country,date,daily_vaccinations_per_million,total_vaccinations
13403,Canada,2020-12-14,0.0,5.0
13404,Canada,2020-12-15,19.0,727.0
13405,Canada,2020-12-16,40.0,3025.0
13406,Canada,2020-12-17,64.0,7279.0
13407,Canada,2020-12-18,74.0,11296.0
13408,Canada,2020-12-19,65.0,12367.0
13409,Canada,2020-12-20,58.0,13228.0
13410,Canada,2020-12-21,79.0,21073.0
13411,Canada,2020-12-22,98.0,26862.0
13412,Canada,2020-12-23,122.0,35547.0
13413,Canada,2020-12-24,144.0,45745.0
13414,Canada,2020-12-25,141.0,48792.0
13415,Canada,2020-12-26,137.0,48808.0
13416,Canada,2020-12-27,147.0,52419.0
13417,Canada,2020-12-28,142.0,59041.0
13418,Canada,2020-12-29,170.0,72057.0
13419,Canada,2020-12-30,187.0,85497.0
13420,Canada,2020-12-31,198.0,98442.0
13421,Canada,2021-01-01,212.0,105404.0
13422,Canada,2021-01-02,230.0,110048.0
13423,Canada,2021-01-03,236.0,115256.0
13424,Canada,2021-01-04,300.0,138858.0
13425,Canada,2021-01-05,318.0,156683.0
13426,Canada,2021-01-06,373.0,184772.0
13427,Canada,2021-01-07,463.0,221912.0
13428,Canada,2021-01-08,594.0,263780.0
13429,Canada,2021-01-09,713.0,299989.0
13430,Canada,2021-01-10,781.0,323497.0
13431,Canada,2021-01-11,837.0,361841.0
13432,Canada,2021-01-12,887.0,393052.0
13433,Canada,2021-01-13,895.0,423365.0
13434,Canada,2021-01-14,916.0,466005.0
13435,Canada,2021-01-15,945.0,515478.0
13436,Canada,2021-01-16,951.0,553360.0
13437,Canada,2021-01-17,970.0,581955.0
13438,Canada,2021-01-18,981.0,623250.0
13439,Canada,2021-01-19,1012.0,662635.0
13440,Canada,2021-01-20,1061.0,705977.0
13441,Canada,2021-01-21,1062.0,749071.0
13442,Canada,2021-01-22,1019.0,787098.0
13443,Canada,2021-01-23,980.0,814582.0
13444,Canada,2021-01-24,928.0,829258.0
13445,Canada,2021-01-25,861.0,852707.0
13446,Canada,2021-01-26,825.0,882364.0
13447,Canada,2021-01-27,749.0,905482.0
13448,Canada,2021-01-28,681.0,930500.0
13449,Canada,2021-01-29,620.0,952276.0
13450,Canada,2021-01-30,574.0,967430.0
13451,Canada,2021-01-31,538.0,972603.0
13452,Canada,2021-02-01,519.0,990915.0
13453,Canada,2021-02-02,451.0,1002530.0
13454,Canada,2021-02-03,415.0,1016197.0
13455,Canada,2021-02-04,395.0,1035774.0
13456,Canada,2021-02-05,402.0,1059347.0
13457,Canada,2021-02-06,426.0,1080961.0
13458,Canada,2021-02-07,459.0,1094816.0
13459,Canada,2021-02-08,470.0,1116233.0
13460,Canada,2021-02-09,527.0,1143038.0
13461,Canada,2021-02-10,588.0,1172962.0
13462,Canada,2021-02-11,641.0,1206692.0
13463,Canada,2021-02-12,694.0,1244168.0
13464,Canada,2021-02-13,740.0,1278201.0
13465,Canada,2021-02-14,749.0,1294437.0
13466,Canada,2021-02-15,709.0,1305088.0
13467,Canada,2021-02-16,706.0,1331046.0
13468,Canada,2021-02-17,674.0,1352501.0
13469,Canada,2021-02-18,651.0,1380041.0
13470,Canada,2021-02-19,699.0,1430536.0
13471,Canada,2021-02-20,766.0,1482365.0
13472,Canada,2021-02-21,860.0,1523672.0
13473,Canada,2021-02-22,1054.0,1585896.0
13474,Canada,2021-02-23,1143.0,1635545.0
13475,Canada,2021-02-24,1237.0,1682122.0
13476,Canada,2021-02-25,1355.0,1740987.0
13477,Canada,2021-02-26,1422.0,1809401.0
13478,Canada,2021-02-27,1461.0,1871736.0
13479,Canada,2021-02-28,1479.0,1917698.0
13480,Canada,2021-03-01,1470.0,1977483.0
13481,Canada,2021-03-02,1567.0,2053042.0
13482,Canada,2021-03-03,1674.0,2128257.0
13483,Canada,2021-03-04,1752.0,2207974.0
13484,Canada,2021-03-05,1821.0,2294574.0
13485,Canada,2021-03-06,1864.0,2368415.0
13486,Canada,2021-03-07,1906.0,2425632.0
13487,Canada,2021-03-08,2007.0,2512301.0
13488,Canada,2021-03-09,1989.0,2583178.0
13489,Canada,2021-03-10,2005.0,2662673.0
13490,Canada,2021-03-11,2077.0,2761545.0
13491,Canada,2021-03-12,2174.0,2873952.0
13492,Canada,2021-03-13,2296.0,2980307.0
13493,Canada,2021-03-14,2431.0,3073337.0
13494,Canada,2021-03-15,2574.0,3198156.0
13495,Canada,2021-03-16,2765.0,3320083.0
13496,Canada,2021-03-17,2998.0,3461496.0
13497,Canada,2021-03-18,3218.0,3619114.0
13498,Canada,2021-03-19,3417.0,3784586.0
13499,Canada,2021-03-20,3521.0,3918531.0
13500,Canada,2021-03-21,3512.0,4009123.0
13501,Canada,2021-03-22,3593.0,4155488.0
13502,Canada,2021-03-23,3611.0,4282355.0
13503,Canada,2021-03-24,3729.0,4455268.0
13504,Canada,2021-03-25,3857.0,4646856.0
13505,Canada,2021-03-26,4058.0,4865929.0
13506,Canada,2021-03-27,4195.0,5036282.0
13507,Canada,2021-03-28,4412.0,5184783.0
