,country,date,people_vaccinated,people_fully_vaccinated,total_vaccinations,people_partially_vaccinated
0,Afghanistan,2022-03-22,5082824.0,4420127.0,5751015.0,662697.0
1,Albania,2022-03-24,1278902.0,1215199.0,2754244.0,63703.0
2,Algeria,2022-03-09,7461932.0,6110712.0,13704895.0,1351220.0
3,Andorra,2022-03-13,57817.0,53367.0,151997.0,4450.0
4,Angola,2022-03-25,11235059.0,5993792.0,17535411.0,5241267.0
5,Anguilla,2022-03-25,10572.0,9624.0,22714.0,948.0
6,Antigua and Barbuda,2022-03-14,63836.0,61550.0,125386.0,2286.0
7,Argentina,2022-03-29,40907186.0,36924451.0,96504666.0,3982735.0
8,Armenia,2022-03-13,1113472.0,948778.0,2088962.0,164694.0
9,Aruba,2022-03-29,87884.0,81347.0,169231.0,6537.0
10,Australia,2022-03-29,22202366.0,21200432.0,56242913.0,1001934.0
11,Austria,2022-03-25,6812569.0,6588761.0,18131115.0,223808.0
12,Azerbaijan,2022-03-29,5322427.0,4821276.0,13425032.0,501151.0
13,Bahamas,2022-03-25,164961.0,156089.0,334155.0,8872.0
14,Bahrain,2022-03-23,1232740.0,1216033.0,3421273.0,16707.0
15,Bangladesh,2022-03-29,127544055.0,107712737.0,243642749.0,19831318.0
16,Barbados,2022-03-28,161076.0,151069.0,312145.0,10007.0
17,Belarus,2022-03-20,5801653.0,5565214.0,11634483.0,236439.0
18,Belgium,2022-03-26,9230428.0,9126319.0,25235826.0,104109.0
19,Belize,2022-03-25,236015.0,209156.0,467251.0,26859.0
20,Benin,2022-03-22,2955274.0,2430934.0,3333450.0,524340.0
21,Bermuda,2022-03-25,48196.0,46699.0,127090.0,1497.0
22,Bhutan,2022-03-20,687549.0,579640.0,1787937.0,107909.0
23,Bolivia,2022-03-20,7043449.0,5747856.0,12972370.0,1295593.0
24,Bonaire Sint Eustatius and Saba,2021-09-01,19109.0,16736.0,35845.0,2373.0
25,Bosnia and Herzegovina,2022-01-29,943394.0,846080.0,1924950.0,97314.0
26,Botswana,2022-03-21,1454775.0,1292541.0,2517260.0,162234.0
27,Brazil,2022-03-29,181078067.0,160272858.0,413559595.0,20805209.0
28,British Virgin Islands,2022-03-25,19165.0,17646.0,40537.0,1519.0
29,Brunei,2022-03-18,407945.0,404935.0,1068468.0,3010.0
30,Bulgaria,2022-03-29,2081276.0,2049909.0,4348404.0,31367.0
31,Burkina Faso,2022-03-20,2131880.0,1188545.0,2369487.0,943335.0
32,Burundi,2022-03-18,10372.0,9906.0,12166.0,466.0
33,Cambodia,2022-03-28,14814942.0,13989488.0,36819740.0,825454.0
34,Cameroon,2022-03-21,1348787.0,1048664.0,1558668.0,300123.0
35,Canada,2022-03-28,32665747.0,31149796.0,82076782.0,1515951.0
36,Cape Verde,2022-03-26,354533.0,306782.0,728077.0,47751.0
37,Cayman Islands,2022-03-25,60364.0,58385.0,141118.0,1979.0
38,Central African Rep.,2022-03-25,923553.0,897945.0,1012846.0,25608.0
