,country,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred
0,Gibraltar,2022-03-24,124.76,122.37,345.37
1,Niue,2022-03-13,102.23,87.79,257.81
2,Pitcairn,2021-09-07,100.0,100.0,200.0
3,United Arab Emirates,2022-03-29,98.99,96.12,244.86
4,Portugal,2022-03-10,95.04,92.6,225.45
5,Cuba,2022-03-27,93.93,87.57,312.28
6,Chile,2022-03-22,92.96,90.29,261.82
7,Brunei,2022-03-18,92.39,91.71,241.99
8,Singapore,2022-03-28,91.79,91.04,253.51
9,Malta,2022-03-28,91.77,90.35,243.33
10,Cayman Islands,2022-03-25,90.78,87.8,212.21
11,Argentina,2022-03-29,89.7,80.96,211.61
12,Qatar,2022-03-29,88.5,88.5,225.46
13,China,2022-03-29,88.32,85.91,225.94
14,Bhutan,2022-03-20,88.16,74.32,229.25
15,Macao,2022-03-28,88.09,77.44,188.07
16,Spain,2022-03-23,88.0,85.82,200.68
17,South Korea,2022-03-29,87.61,86.7,235.07
18,Cambodia,2022-03-28,87.42,82.55,217.27
19,Samoa,2022-03-21,86.87,65.47,152.34
20,Hong Kong,2022-03-27,86.1,75.99,197.87
21,Australia,2022-03-29,86.1,82.21,218.1
22,Canada,2022-03-28,85.81,81.83,215.61
23,Guernsey,2022-03-23,85.42,81.01,237.79
24,Cook Islands,2022-03-28,85.32,82.93,168.25
25,Uruguay,2022-03-29,85.3,81.56,230.34
26,Seychelles,2022-03-18,85.26,80.97,201.66
27,Peru,2022-03-26,85.08,76.38,196.5
28,Faeroe Islands,2022-02-18,85.04,83.37,211.8
29,Brazil,2022-03-29,84.62,74.9,193.26
30,Costa Rica,2022-03-28,84.38,77.28,197.82
31,Nauru,2022-03-21,84.15,70.58,154.73
32,Italy,2022-03-29,84.02,79.21,225.07
33,Iceland,2022-03-29,84.0,78.69,218.41
34,Malaysia,2022-03-29,83.88,78.72,209.89
35,New Zealand,2022-03-29,83.57,79.04,213.61
36,Denmark,2022-03-28,83.28,82.6,227.27
37,Ecuador,2022-03-26,82.94,76.64,185.4
38,Nicaragua,2022-03-25,82.04,61.37,143.41
39,Aruba,2022-03-29,81.99,75.89,157.87
40,Jersey,2022-03-20,81.9,78.48,223.69
41,Colombia,2022-03-27,81.81,67.74,157.17
42,Ireland,2022-03-28,81.66,80.43,215.57
43,Scotland,2022-03-28,81.56,76.34,221.65
44,Taiwan,2022-03-29,81.53,76.52,207.43
45,Vietnam,2022-03-22,81.44,79.2,206.93
46,Isle of Man,2022-03-29,81.39,78.42,221.87
47,Japan,2022-03-29,81.29,79.84,201.78
48,Finland,2022-03-29,81.21,77.66,210.5
49,Turks and Caicos Islands,2022-03-25,80.1,74.95,175.06
50,France,2022-03-28,80.08,77.78,210.12
51,Wales,2022-03-28,79.77,75.69,218.53
52,Belgium,2022-03-26,79.35,78.46,216.95
53,Norway,2022-03-28,79.25,73.68,206.18
54,Thailand,2022-03-29,79.14,71.71,184.25
55,Sri Lanka,2022-03-22,79.06,66.93,181.9
56,Kuwait,2022-03-24,78.79,75.87,180.53
57,Mauritius,2022-03-24,78.57,75.66,195.87
58,England,2022-03-28,78.48,73.39,208.97
59,Panama,2022-03-25,78.39,68.88,180.05
60,Netherlands,2022-03-19,78.35,72.01,198.21
61,Bermuda,2022-03-25,77.62,75.21,204.68
62,San Marino,2022-03-20,77.42,69.4,200.62
63,United Kingdom,2022-03-28,77.39,72.43,206.68
64,Venezuela,2022-03-25,77.19,49.77,131.9
65,Sweden,2022-03-25,76.94,74.94,207.22
66,United States of America,2022-03-28,76.91,65.51,168.72
67,Cyprus,2022-02-26,76.78,72.02,197.93
68,Bangladesh,2022-03-29,76.69,64.77,146.5
69,Greece,2022-03-29,76.14,73.21,197.7
70,Germany,2022-03-29,75.88,75.26,204.93
71,Laos,2022-03-28,75.8,60.38,136.18
72,Luxembourg,2022-03-26,75.66,72.51,201.66
73,Fiji,2022-03-28,75.4,69.49,144.89
74,Austria,2022-03-25,75.33,72.86,200.5
75,Iran,2022-03-29,75.12,66.81,172.64
76,Northern Ireland,2022-03-28,75.08,70.18,198.04
77,Andorra,2022-03-13,74.74,68.99,196.5
78,Falkland Islands,2021-04-14,74.6,50.31,124.91
79,Northern Cyprus,2021-11-26,74.39,72.2,161.52
80,Nepal,2022-03-29,74.12,64.08,134.58
