,index,date,location,daily_vaccinations,people_vaccinated,daily_vaccinations_per_million
0,0,2021-01-12,Alabama,,70861.0,
1,1,2021-01-13,Alabama,5906.0,74792.0,1205.0
2,2,2021-01-14,Alabama,7083.0,80480.0,1445.0
3,3,2021-01-15,Alabama,7478.0,86956.0,1525.0
4,4,2021-01-16,Alabama,7498.0,,1529.0
5,5,2021-01-17,Alabama,7509.0,,1531.0
6,6,2021-01-18,Alabama,7517.0,,1533.0
7,7,2021-01-19,Alabama,7523.0,114319.0,1534.0
8,8,2021-01-20,Alabama,7880.0,121113.0,1607.0
9,9,2021-01-21,Alabama,10517.0,144429.0,2145.0
10,10,2021-01-22,Alabama,14107.0,174317.0,2877.0
11,11,2021-01-23,Alabama,16202.0,193955.0,3304.0
12,12,2021-01-24,Alabama,18294.0,213833.0,3731.0
13,13,2021-01-25,Alabama,18196.0,220464.0,3711.0
14,14,2021-01-26,Alabama,17738.0,223854.0,3618.0
15,15,2021-01-27,Alabama,18178.0,232633.0,3707.0
16,16,2021-01-28,Alabama,16153.0,241337.0,3294.0
17,17,2021-01-29,Alabama,14514.0,256601.0,2960.0
18,18,2021-01-30,Alabama,17271.0,288368.0,3522.0
19,19,2021-01-31,Alabama,15748.0,298301.0,3212.0
20,20,2021-02-01,Alabama,15381.0,301628.0,3137.0
21,21,2021-02-02,Alabama,16703.0,312711.0,3407.0
22,22,2021-02-03,Alabama,17414.0,324998.0,3552.0
23,23,2021-02-04,Alabama,18491.0,338845.0,3771.0
24,24,2021-02-05,Alabama,18526.0,353522.0,3778.0
25,25,2021-02-06,Alabama,16105.0,370275.0,3285.0
26,26,2021-02-07,Alabama,15480.0,375567.0,3157.0
27,27,2021-02-08,Alabama,15622.0,378514.0,3186.0
28,28,2021-02-09,Alabama,17012.0,395196.0,3470.0
29,29,2021-02-10,Alabama,18209.0,412462.0,3714.0
30,30,2021-02-11,Alabama,19258.0,431259.0,3928.0
31,31,2021-02-12,Alabama,20074.0,448071.0,4094.0
32,32,2021-02-13,Alabama,20855.0,467032.0,4253.0
33,33,2021-02-14,Alabama,21417.0,474065.0,4368.0
34,34,2021-02-15,Alabama,22405.0,,4569.0
35,35,2021-02-16,Alabama,20816.0,486206.0,4245.0
36,36,2021-02-17,Alabama,19174.0,494424.0,3911.0
37,37,2021-02-18,Alabama,18400.0,505660.0,3753.0
38,38,2021-02-19,Alabama,24002.0,545431.0,4895.0
39,39,2021-02-20,Alabama,25111.0,560968.0,5121.0
40,40,2021-02-21,Alabama,25194.0,567505.0,5138.0
41,41,2021-02-22,Alabama,24164.0,583741.0,4928.0
42,42,2021-02-23,Alabama,25489.0,593936.0,5198.0
43,43,2021-02-24,Alabama,27098.0,604602.0,5527.0
44,44,2021-02-25,Alabama,27531.0,615100.0,5615.0
45,45,2021-02-26,Alabama,22104.0,627063.0,4508.0
46,46,2021-02-27,Alabama,22022.0,643208.0,4491.0
47,47,2021-02-28,Alabama,21984.0,649745.0,4484.0
48,48,2021-03-01,Alabama,22111.0,653309.0,4510.0
49,49,2021-03-02,Alabama,22436.0,663187.0,4576.0
50,50,2021-03-03,Alabama,22904.0,674810.0,4671.0
51,51,2021-03-04,Alabama,23916.0,688791.0,4878.0
52,52,2021-03-05,Alabama,24388.0,704173.0,4974.0
53,53,2021-03-06,Alabama,24087.0,721109.0,4913.0
54,54,2021-03-07,Alabama,23947.0,727681.0,4884.0
